parametro,valore,unita,anno,fonte,flag_qualita
aliquota_marginale_recupero,44.1,%,2024,derivata numericamente dalla funzione fiscale sulle fasce colpite,derivato
quota_non_finanziata_2000_mese,40.9,%,2010,Config.3: formula retributiva vera + AMECO + premio correlato + aliquote storiche,stima_ancorata
quota_non_finanziata_5000_mese,37.1,%,2010,Config.3,stima_ancorata
quota_non_finanziata_8000_mese,30.5,%,2010,Config.3,stima_ancorata
quota_non_finanziata_media_sopra_5000,25.8,%,2010,Config.3,stima_ancorata
gettito_scenarioB_netto_min,9.2,mld EUR,2024,"Config.3, pendenza premio 0,7",stima_ancorata
gettito_scenarioB_netto_centrale,10.6,mld EUR,2024,"Config.3, pendenza premio 1,0",stima_ancorata
gettito_scenarioB_netto_max,11.5,mld EUR,2024,"Config.3, pendenza premio 1,3",stima_ancorata
premio_carriera_correlato,"0 -> +2,25",punti/anno,,"IPOTESI DICHIARATA, non osservata. Calibrata: 0 sotto 1.500; +0,5 a 2.500; +1 a 3.500; +1,75 a 5.000; +2,25 a 8.000+",ipotesi_dichiarata
tassi_capitalizzazione_pre_1996,controfattuale,—,,"IPOTESI DICHIARATA: il contributivo nasce nel 1996; i tassi pre-1996 sono costruiti dai livelli di PIL nominale, non osservati",ipotesi_dichiarata
serie_salariale,AMECO ITA.1.0.0.0.HWCDW,indice,1960-2025,"Commissione UE, Nominal compensation per employee, total economy. Crescita: 14,6%/anno 1970-90; 3,1% 1990-2010; 1,3% 2010-24",verificato
aliquote_rendimento_quota_A,"2,00/1,50/1,25/1,00",%,,L. 67/1988 art.21 c.6 (versione originaria) — anzianita fino al 31/12/1992,verificato_norma
aliquote_rendimento_quota_B,"2,00/1,60/1,35/1,10/0,90",%,,"D.Lgs. 503/1992 art.12 c.1 — anzianita dal 1/1/1993. Ultima fascia APERTA, nessun cap",verificato_norma
contributi_sopra_tetto_pensionabile,PIENI +1 punto,—,1993+,"art. 3-ter D.L. 384/1992 (conv. L.438/1992): aliquota aggiuntiva di 1 punto sulle quote eccedenti la prima fascia, a carico del lavoratore",verificato_norma
massimale_contributivo_vecchi_iscritti,ASSENTE,—,,"INPS Circ. 177/1996: per chi ha anzianita ante-1996 si sottopone a contribuzione l intera retribuzione, senza massimale. Il massimale L.335/95 art.2 c.18 vale solo per i NUOVI iscritti dal 1996",verificato_norma
aliquote_ivs_fpld_storiche,"19,21% (1972) -> 27,17% (1993) -> 33% (2007)",%,1920-2026,"INPS Circ. 114/2009. Il modello usa queste, NON il 33% retroattivo: media pre-1996 = 24,35%",verificato_norma
tetto_prima_fascia_2010,42364.0,EUR,2010,INPS Circ. 16 del 2/2/2010. Serie: 1993=27.617 -> 2024=55.008,verificato_norma
ancora_letteratura_Castellino_Fornero,27% vs 45-55%,%,1992,"Castellino & Fornero, A Pension System in Transition (CeRP): contribuzione effettiva vs aliquota di equilibrio => circa META della pensione media non finanziata",riferimento
ancora_letteratura_Ferraresi_Fornero,NPVR 110-152%,%,,"Ferraresi & Fornero, CeRP WP 2/00: rapporto prestazioni/contributi del lavoratore rappresentativo. IRR reale 2,2-3,5%, sempre POSITIVO",riferimento
ancora_letteratura_Gronchi,carriere ripide,—,1995,"Gronchi, I rendimenti impliciti della previdenza obbligatoria: il retributivo premia le carriere esponenziali e brevi. E il meccanismo del premio correlato",riferimento
passivita_riconoscimento_viaA,2599.3,mld EUR,2021,"VIA A (top-down). ADL Eurostat nasa_10_pens1 (penscheme=S13PS social security, na_item=F63_LS) 2021 = 7.681 mld, MENO il valore attuale delle pensioni gia in pagamento (3.682: COFOG 359,6 in estinzione lineare su 30 anni, sconto 5%) = 3.999 di diritti maturati dagli attivi, MENO la quota retributiva dei misti attivi (35%)",stima_esplicita
passivita_riconoscimento_viaB,2296.7,mld EUR,2024,"VIA B (bottom-up). Occupati in regime contributivo per classe d eta (Eurostat lfsa_egan) x montante medio di coorte, costruito capitalizzando la storia retributiva mediana ai tassi UFFICIALI col calcolatore. IPOTESI: ingresso al lavoro a 25 anni; RAL mediana 27k; nessun massimale",stima_esplicita
passivita_riconoscimento_centrale,2450.0,mld EUR,2021-2024,"CENTRALE usato nel report = MEDIA ARITMETICA delle due vie (2.599,3 + 2.296,7)/2 = 2.448,0, arrotondata alla decina -> 2.450. Divergenza fra le vie: 11,6% (sotto la soglia del 30%). NB: le due vie misurano cose vicine ma non identiche — la Via A e un valore attuale ATTUARIALE scontato al 5%, la Via B un saldo NOZIONALE capitalizzato all 1,7%: un divario e atteso, non e un errore. Da questo valore scalano linearmente l interesse nozionale (41,7 mld/anno) e il carry dello spread (63,7)",verificato_due_vie
carry_spread_su_saldo_nozionale,59.7,mld EUR,2024,"BASE CONCETTUALMENTE CORRETTA per il carry: il piano riconosce il passato come IOU al VALORE NOZIONALE, e il valore facciale di quel debito e il SALDO NOZIONALE (Via B = 2.297), non il valore attuale attuariale (Via A) ne la media dei due. Carry = 2.297 x 2,6 punti di spread (BTP 4,3% - nozionale 1,7%) = 59,7. Il carry calcolato sul centrale (2.450 x 2,6 = 63,7) SOVRASTIMA di ~4 mld quello calcolato sul solo saldo nozionale. Il report usa ~64: sta dentro il tilde, ma l obiezione ha qui la sua risposta",stima_esplicita
interesse_nozionale_su_saldo_nozionale,39.0,mld EUR,2024,"STESSO RAGIONAMENTO del carry, applicato all interesse nozionale: 2.297 x 1,7% = 39,0, contro i 41,7 calcolati sul centrale. Sovrastima di ~2,7 mld. Il report usa ~42: dentro il tilde. NB: il par.5-D dice che il prelievo copre circa un quarto dell interesse nozionale — sul saldo nozionale fa 10,6/39,0 = 27%, quindi la frase REGGE comunque",stima_esplicita
sentiero_salariale,AMECO,scelta dichiarata,1960-2025,"SCELTA DI METODO, dichiarata. AMECO (Commissione UE, ITA.1.0.0.0.HWCDW: retribuzioni nominali per occupato) e NON gli indici ISTAT delle retribuzioni contrattuali che il calcolatore upstream usa dal commit 52abdf7 (dataflow 155_318, bypassato in analisi/override_tassi_ufficiali.py). MOTIVAZIONE: gli indici ISTAT misurano le retribuzioni CONTRATTUALI (minimi negoziali), AMECO le retribuzioni EFFETTIVAMENTE percepite. Il controfattuale contributivo si costruisce sui contributi VERSATI, che seguono la retribuzione effettiva (imponibile), non il minimo tabellare: lo slittamento salariale (superminimi, scatti, premi) sta nella prima e non nella seconda. EFFETTO MISURATO della scelta: con gli indici contrattuali l eccesso salirebbe di 2-3 punti per fascia (bordo alto 43,3% -> 44,3%) e il gettito dello Scenario B di +0,1 mld. La nostra scelta e quindi la PIU CONSERVATIVA delle due",ipotesi_dichiarata
pin_upstream,0d7a5b7,commit,2026,"Commit del calcolatore di Nazareno contro cui sono calcolati tutti i numeri. Adottato dopo verifica: incorpora i bug fix upstream (bcfda17: con mesi<12, 37 e 41 anni davano lo stesso montante; a36819a: contributi allocati all indietro dal pensionamento), che per il nostro uso sono a DELTA ZERO — misurato, si attivano solo con anni_contribuiti < anni_disponibili o mesi < 12, e noi usiamo sempre gli estremi. Il cambiamento al sentiero salariale e bypassato: cfr. sentiero_salariale",verificato
